date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:17	76/76	---M--	200	added ('OK')	text/plain	date:Mon,%2026%20Nov%202018%2006:52:20%20GMT	http://www.laughton.com/robots.txt		(from )
20:46:17	4147/4147	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202020%2004:46:16%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/index.html	(from )
20:46:17	4083/4083	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202019%2017:33:13%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework00.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework00.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:17	4857/4857	---M--	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202019%2017:32:58%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework01.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework01.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:17	4147/4147	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202020%2004:46:16%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/?C=N;O=D	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/indexc052.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:17	4480/4480	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202019%2001:44:03%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework02.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework02.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:18	5414/5414	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202019%2001:44:07%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework03.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework03.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:18	3571/3571	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202019%2003:52:12%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework04.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework04.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:18	4147/4147	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202020%2004:46:17%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/?C=M;O=A	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/indexf8a0.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:18	6873/6873	---M--	200	added ('OK')	text/html	date:Fri,%2013%20Sep%202019%2002:03:46%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework05.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework05.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:18	7066/7066	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202019%2001:44:24%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework06.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework06.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:19	7717/7717	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Sep%202019%2003:07:09%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework07.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework07.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:19	4147/4147	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202020%2004:46:18%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/?C=S;O=A	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/indexbfec.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:19	4761/4761	---M--	200	added ('OK')	text/html	date:Wed,%2025%20Sep%202019%2016:28:18%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework08.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework08.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:19	3402/3402	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2003:30:45%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework09.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework09.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:20	6386/6386	---M--	200	added ('OK')	text/html	date:Sun,%2028%20Jul%202019%2000:06:57%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework10.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework10.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:20	6474/6474	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202019%2001:20:11%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework11.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework11.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:20	4147/4147	---M--	200	added ('OK')	text/html	date:Sat,%2008%20Feb%202020%2004:46:19%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/?C=D;O=A	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/index30b5.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:20	3865/3865	---M--	200	added ('OK')	text/html	date:Fri,%2025%20Oct%202019%2003:46:14%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework12.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework12.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:20	1313/1313	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2001:09:59%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/critter_doc/	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/critter_doc/index.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:20	2778/2778	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2016:37:07%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework13.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework13.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:21	7331/7331	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2016:41:39%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework14.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework14.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:21	2852/2852	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2016:46:34%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework15.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework15.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:21	4386/4386	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2016:48:36%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework16.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework16.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:21	4648/4648	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2017:03:37%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework17.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework17.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
20:46:22	3454/3454	---M--	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202019%2017:06:05%20GMT	http://www.laughton.com/obrien/sjsu/cs49j/homework/homework18.html	C:/My%20Web%20Sites/Java%20Homework%20Problems/www.laughton.com/obrien/sjsu/cs49j/homework/homework18.html	(from http://www.laughton.com/obrien/sjsu/cs49j/homework/)
